nombre_modelo,dim_latente,arquitectura,epocas_max,learning_rate,convergio,epocas_reales,mse,precision,parametros
tp3_DeepReLU_L8_lat5_ep10000_lr0_0005,5,DeepReLU_L8,10000,0.0005,False,677,0.1353012726500099,78.66071428571428,4116
tp3_BalancedAE_lat5_ep4000_lr0_0005,5,BalancedAE,4000,0.0005,False,566,0.14097957002777897,80.0,2956
tp3_BalancedAE_lat5_ep4000_lr0_0001,5,BalancedAE,4000,0.0001,False,1602,0.14120025145588777,81.07142857142857,2956
tp3_WideReLU_L10_lat5_ep8000_lr0_0005,5,WideReLU_L10,8000,0.0005,False,741,0.14266549476069937,77.94642857142857,3040
tp3_WideReLU_L10_lat5_ep10000_lr0_001,5,WideReLU_L10,10000,0.001,False,547,0.14371458209799792,77.67857142857143,3040
tp3_BalancedAE_L9_lat5_ep10000_lr0_0005,5,BalancedAE_L9,10000,0.0005,False,643,0.14435383658319934,79.82142857142858,2998
tp3_WideReLU_L10_lat5_ep10000_lr0_00075,5,WideReLU_L10,10000,0.00075,False,549,0.14577051719970202,79.28571428571428,3040
tp3_BalancedAE_lat5_ep6000_lr0_001,5,BalancedAE,6000,0.001,False,327,0.1460625715259171,80.08928571428572,2956
tp3_DeepReLU_L8_lat5_ep8000_lr0_0005,5,DeepReLU_L8,8000,0.0005,False,606,0.14698501853632945,79.19642857142857,4116
tp3_DeepReLU_L8_lat5_ep10000_lr0_001,5,DeepReLU_L8,10000,0.001,False,548,0.14729464167596573,78.03571428571429,4116
tp3_DeepReLU_L8_lat5_ep10000_lr0_00075,5,DeepReLU_L8,10000,0.00075,False,556,0.14769443761850765,77.85714285714286,4116
tp3_BalancedAE_lat5_ep6000_lr0_0001,5,BalancedAE,6000,0.0001,False,1360,0.15162568049023153,78.75,2956
tp3_WideReLU_L10_lat5_ep8000_lr0_00075,5,WideReLU_L10,8000,0.00075,False,592,0.1517119689643464,76.42857142857142,3040
tp3_WideReLU_L10_lat5_ep8000_lr0_001,5,WideReLU_L10,8000,0.001,False,539,0.15393516329705853,76.78571428571429,3040
tp3_DeepReLU_L8_lat5_ep8000_lr0_001,5,DeepReLU_L8,8000,0.001,False,562,0.1617348892669021,75.625,4116
tp3_DeepBalancedAE_lat5_ep6000_lr0_0001,5,DeepBalancedAE,6000,0.0001,False,808,0.1697374853864265,74.64285714285714,4116
tp3_DeepReLU_L8_lat5_ep8000_lr0_00075,5,DeepReLU_L8,8000,0.00075,False,547,0.16979075310302236,73.125,4116
tp3_BalancedAE_lat6_ep2000_lr0_0005,6,BalancedAE,2000,0.0005,False,1456,0.05908854140017011,93.125,2973
tp3_DeepBalancedAE_lat6_ep6000_lr0_0005,6,DeepBalancedAE,6000,0.0005,False,701,0.09997928777600781,86.33928571428572,4133
tp3_BalancedAE_lat6_ep6000_lr0_001,6,BalancedAE,6000,0.001,False,619,0.1020746434842008,85.625,2973
tp3_BalancedAE_lat6_ep6000_lr0_0001,6,BalancedAE,6000,0.0001,False,2832,0.11126866678546746,85.625,2973
tp3_BalancedAE_lat6_ep4000_lr0_001,6,BalancedAE,4000,0.001,False,471,0.1113944338065957,84.82142857142857,2973
tp3_BalancedAE_lat6_ep4000_lr0_0001,6,BalancedAE,4000,0.0001,False,2434,0.11229983225094466,84.82142857142857,2973
tp3_BalancedAE_lat6_ep2000_lr0_001,6,BalancedAE,2000,0.001,False,413,0.12036341102986502,83.92857142857143,2973
tp3_BalancedAE_lat6_ep6000_lr0_0005,6,BalancedAE,6000,0.0005,False,590,0.12103995750974576,83.125,2973
tp3_DeepBalancedAE_lat6_ep2000_lr0_0005,6,DeepBalancedAE,2000,0.0005,False,648,0.12264608639755512,82.94642857142858,4133
tp3_BalancedAE_lat6_ep2000_lr0_0001,6,BalancedAE,2000,0.0001,False,2000,0.1269284054943077,82.76785714285714,2973
tp3_BalancedAE_lat6_ep4000_lr0_0005,6,BalancedAE,4000,0.0005,False,551,0.1324797115247255,81.875,2973
tp3_DeepBalancedAE_lat6_ep4000_lr0_0005,6,DeepBalancedAE,4000,0.0005,False,437,0.13425782598496824,82.32142857142857,4133
tp3_DeepBalancedAE_lat6_ep6000_lr0_0001,6,DeepBalancedAE,6000,0.0001,False,1338,0.13455169140463566,82.23214285714285,4133
tp3_DeepBalancedAE_lat6_ep4000_lr0_0001,6,DeepBalancedAE,4000,0.0001,False,1629,0.1367245439841616,80.89285714285714,4133
tp3_DeepBalancedAE_lat6_ep2000_lr0_001,6,DeepBalancedAE,2000,0.001,False,334,0.145593295103193,79.64285714285714,4133
tp3_DeepBalancedAE_lat6_ep4000_lr0_001,6,DeepBalancedAE,4000,0.001,False,316,0.1476273131777747,79.64285714285714,4133
tp3_DeepBalancedAE_lat6_ep6000_lr0_001,6,DeepBalancedAE,6000,0.001,False,308,0.14893368365378912,78.66071428571428,4133
tp3_DeepBalancedAE_lat6_ep2000_lr0_0001,6,DeepBalancedAE,2000,0.0001,False,1008,0.1580636241131683,76.69642857142858,4133
tp3_WideTanhAE_lat8_ep8000_lr0_001,8,WideTanhAE,8000,0.001,False,986,0.052562476088374686,94.73214285714285,3427
tp3_BalancedAE_lat8_ep10000_lr0_00075,8,BalancedAE,10000,0.00075,False,1103,0.08946919254445539,88.21428571428571,3007
tp3_WideTanhAE_lat8_ep8000_lr0_0005,8,WideTanhAE,8000,0.0005,False,1006,0.08958908253236085,88.92857142857142,3427
tp3_BalancedAE_lat8_ep10000_lr0_0005,8,BalancedAE,10000,0.0005,False,1160,0.09149475381955785,87.94642857142857,3007
tp3_BalancedAE_lat8_ep8000_lr0_001,8,BalancedAE,8000,0.001,False,866,0.09882746669703753,87.05357142857143,3007
tp3_BalancedAE_lat8_ep8000_lr0_0005,8,BalancedAE,8000,0.0005,False,1562,0.09940479730404833,86.33928571428572,3007
tp3_DeepBalancedAE_lat8_ep10000_lr0_0005,8,DeepBalancedAE,10000,0.0005,False,3289,0.09942818048409746,86.78571428571429,4167
tp3_WideTanhAE_lat8_ep10000_lr0_001,8,WideTanhAE,10000,0.001,False,660,0.10005898839323994,88.125,3427
tp3_DeepBalancedAE_lat8_ep10000_lr0_00075,8,DeepBalancedAE,10000,0.00075,False,1090,0.10828977540200112,85.80357142857142,4167
